carat,cut,color,clarity,depth,table,price,x,y,z
0.31,Ideal,D,SI2,62.9,54.0,593,4.35,4.3,2.72
1.23,Very Good,I,VS1,63.1,58.0,6564,6.77,6.91,4.32
1.01,Good,E,VS2,60.8,63.0,6250,6.44,6.46,3.92
1.22,Premium,G,VS2,61.1,56.0,8062,6.94,6.85,4.21
0.75,Ideal,D,SI1,62.3,55.0,2898,5.83,5.8,3.62
0.71,Very Good,H,SI2,63.3,58.0,2055,5.65,5.69,3.59
0.34,Ideal,G,VVS2,62.1,55.0,775,4.44,4.48,2.77
0.32,Ideal,I,IF,61.4,57.0,655,4.39,4.44,2.71
1.2,Ideal,H,SI1,61.1,56.0,6968,6.92,6.87,4.21
0.53,Ideal,H,VS1,60.8,57.0,1848,5.24,5.29,3.2
0.43,Ideal,D,SI1,62.5,55.0,993,4.83,4.8,3.01
0.7,Premium,F,SI1,60.2,58.0,2319,5.76,5.7,3.45
1.25,Ideal,E,SI1,61.1,57.0,6468,6.93,6.89,4.22
1.12,Good,J,SI1,63.7,61.0,3880,6.5,6.54,4.15
0.43,Very Good,H,VS2,61.9,55.0,792,4.8,4.95,3.02
0.9,Good,E,VS2,63.1,58.0,4580,6.11,6.15,3.87
1.51,Ideal,G,VS2,62.2,57.0,12947,7.28,7.36,4.55
0.71,Good,I,VS2,64.2,58.0,2028,5.52,5.57,3.56
0.53,Good,F,VS1,64.2,56.0,1688,5.11,5.14,3.29
0.9,Very Good,H,SI1,63.3,58.0,3500,6.04,6.13,3.85
0.25,Ideal,G,VVS2,62.1,56.0,525,4.02,4.05,2.5
0.53,Ideal,G,VS1,61.8,55.0,1813,5.22,5.17,3.21
0.87,Very Good,F,SI2,61.0,63.0,2851,6.22,6.07,3.75
0.76,Ideal,E,SI2,61.5,57.0,2680,5.83,5.87,3.6
0.7,Premium,J,VS1,60.9,58.0,2005,5.73,5.66,3.47
1.01,Ideal,F,VVS2,61.0,57.0,8688,6.52,6.46,3.96
0.35,Ideal,G,IF,62.3,55.0,1044,4.5,4.52,2.81
1.0,Fair,D,SI2,66.5,59.0,3965,6.24,6.21,4.14
0.46,Good,E,SI1,63.7,58.0,891,4.84,4.9,3.1
0.36,Premium,D,SI2,61.2,59.0,537,4.56,4.59,2.8
1.05,Very Good,E,SI1,59.7,57.0,6224,6.63,6.71,3.98
0.31,Ideal,F,VS2,62.6,55.0,625,4.29,4.33,2.7
0.33,Ideal,I,SI1,61.0,57.0,463,4.45,4.47,2.72
0.9,Premium,G,VS2,60.6,61.0,4079,6.19,6.13,3.73
0.43,Good,H,VVS1,60.0,61.0,1000,4.91,4.93,2.95
0.37,Ideal,E,VVS1,61.5,56.0,1179,4.64,4.59,2.84
0.41,Premium,F,VVS2,60.3,58.0,1192,4.83,4.79,2.9
1.0,Good,E,VS2,58.2,60.0,6958,6.52,6.54,3.8
0.51,Very Good,E,VS1,60.0,57.0,1717,5.18,5.25,3.13
0.72,Ideal,F,SI2,61.1,59.0,2466,5.74,5.79,3.52
0.55,Premium,G,VS2,62.7,60.0,1445,5.27,5.19,3.28
0.61,Very Good,D,SI1,62.4,59.0,1622,5.42,5.45,3.39
0.31,Premium,J,VS2,62.7,58.0,488,4.34,4.3,2.71
0.7,Good,H,VVS2,60.5,62.0,2611,5.66,5.74,3.45
0.53,Ideal,G,VS1,61.9,56.0,1721,5.19,5.21,3.22
2.09,Ideal,I,SI1,61.4,56.0,16704,8.23,8.27,5.06
1.01,Good,F,VS2,63.3,55.0,5731,6.32,6.39,4.02
0.7,Ideal,I,SI2,61.3,57.0,1961,5.7,5.73,3.5
0.5,Ideal,F,IF,60.6,58.0,2529,5.13,5.16,3.12
0.5,Good,F,VS2,63.6,58.0,1333,5.02,5.05,3.2
0.54,Very Good,F,SI1,64.0,59.0,1314,5.14,5.18,3.3
0.33,Very Good,F,IF,58.7,55.0,897,4.56,4.6,2.69
0.4,Premium,G,SI1,61.1,61.0,900,4.76,4.7,2.89
0.59,Very Good,D,SI1,63.1,61.0,1771,5.35,5.3,3.36
0.47,Ideal,D,VS2,60.3,57.0,1270,5.02,5.07,3.04
0.75,Ideal,H,SI1,62.1,57.0,2165,5.82,5.78,3.6
2.32,Premium,J,SI2,59.0,59.0,14666,8.69,8.64,5.11
0.51,Good,E,SI1,57.4,62.0,1361,5.29,5.24,3.02
1.26,Premium,H,SI2,60.9,57.0,5434,7.03,6.96,4.26
0.85,Premium,G,SI2,62.0,58.0,2444,6.08,6.04,3.76
0.7,Good,F,VS2,62.6,61.0,2591,5.56,5.62,3.5
1.16,Ideal,G,SI1,61.8,55.0,5908,6.75,6.78,4.18
0.57,Ideal,E,SI1,62.1,56.0,1608,5.3,5.33,3.3
1.1,Ideal,G,VS1,61.5,57.0,7111,6.65,6.62,4.08
0.38,Ideal,I,VVS2,61.7,56.0,737,4.67,4.7,2.89
1.25,Ideal,H,SI1,62.2,57.0,6783,6.9,6.86,4.28
1.56,Premium,F,SI2,63.0,58.0,6971,7.35,7.28,4.66
0.47,Ideal,I,VS2,62.1,54.0,884,4.99,5.03,3.11
1.05,Premium,G,VS2,63.0,57.0,6096,6.51,6.48,4.09
1.0,Premium,H,VS2,59.6,59.0,5069,6.54,6.47,3.88
0.59,Ideal,D,VS2,61.4,57.0,1978,5.39,5.4,3.31
1.43,Ideal,G,SI1,62.6,57.0,8969,7.18,7.14,4.48
0.32,Ideal,I,VS1,60.9,56.0,648,4.46,4.44,2.71
0.46,Ideal,G,IF,61.7,56.0,1987,4.97,5.01,3.08
1.0,Very Good,E,VS2,61.9,57.0,6732,6.35,6.38,3.94
0.3,Ideal,F,VS2,62.1,53.6,601,4.28,4.31,2.67
0.5,Premium,F,SI1,60.1,59.0,1332,5.17,5.14,3.1
1.02,Very Good,E,SI1,62.7,60.0,6397,6.45,6.4,4.03
0.35,Ideal,E,IF,62.2,56.0,1254,4.52,4.51,2.81
0.78,Very Good,D,VS2,62.2,56.0,3668,5.85,5.91,3.66
0.24,Ideal,H,VVS1,61.5,55.0,504,3.99,4.02,2.46
0.9,Ideal,G,SI2,62.5,56.0,3521,6.15,6.2,3.86
0.37,Premium,G,VS2,61.2,60.0,833,4.63,4.58,2.82
2.2,Premium,I,SI2,63.0,59.0,15238,8.22,8.19,5.17
0.26,Very Good,G,VS2,61.7,57.0,423,4.11,4.15,2.55
0.4,Ideal,D,SI2,62.0,55.0,625,4.71,4.77,2.94
2.19,Premium,I,SI2,62.5,58.0,15169,8.31,8.26,5.18
1.52,Premium,H,SI1,62.0,60.0,7559,7.36,7.28,4.54
1.0,Ideal,F,VVS2,61.7,53.0,8958,6.46,6.48,3.99
1.0,Good,G,VS2,63.4,61.0,5600,6.23,6.29,3.97
0.91,Very Good,E,SI2,62.8,59.0,3968,6.13,6.16,3.86
0.43,Premium,F,SI2,60.2,60.0,871,4.91,4.85,2.94
0.3,Premium,H,VS1,62.6,59.0,526,4.26,4.3,2.68
0.3,Premium,J,VS2,60.6,59.0,368,4.34,4.38,2.64
0.36,Ideal,E,VVS1,61.4,57.0,1043,4.64,4.61,2.54
1.0,Premium,F,SI1,62.0,60.0,5574,6.42,6.36,3.96
2.23,Premium,J,SI2,61.3,60.0,13931,8.4,8.35,5.13
0.36,Very Good,G,VS1,61.4,55.0,903,4.63,4.65,2.85
1.03,Premium,E,VS2,62.9,61.0,6922,6.42,6.36,4.02
0.5,Very Good,D,VS2,63.2,60.0,1632,5.04,5.02,3.18
1.21,Ideal,E,SI1,62.3,56.0,7088,6.87,6.81,4.26
0.3,Premium,H,VVS1,63.0,58.0,878,4.25,4.22,2.67
0.7,Premium,H,VS2,60.7,59.0,2415,5.68,5.66,3.44
1.23,Very Good,F,SI2,60.9,58.0,4661,6.93,6.96,4.23
0.4,Good,D,VS2,63.2,57.0,786,4.65,4.71,2.96
0.98,Premium,E,SI2,61.7,61.0,4478,6.38,6.34,3.93
1.0,Good,D,SI2,64.3,60.0,3965,6.22,6.19,3.99
0.36,Ideal,G,IF,61.5,56.0,985,4.59,4.62,2.83
1.01,Premium,E,VS2,62.3,59.0,5430,6.38,6.33,3.96
0.9,Ideal,J,VS1,62.5,55.0,3175,6.18,6.14,3.85
1.61,Premium,I,VS2,58.4,59.0,9341,7.73,7.68,4.5
0.47,Ideal,E,VS1,61.5,55.0,1400,5.01,5.04,3.09
0.53,Very Good,G,SI2,63.4,55.0,1079,5.1,5.19,3.26
0.59,Premium,H,VVS1,62.0,58.0,1883,5.36,5.38,3.33
1.0,Premium,G,SI2,62.7,59.0,4170,6.36,6.3,3.97
0.3,Ideal,F,VS2,62.3,58.0,569,4.26,4.23,2.64
0.6,Premium,D,SI2,61.3,61.0,1428,5.46,5.4,3.33
1.7,Premium,F,SI2,60.1,58.0,11322,7.74,7.67,4.63
1.54,Ideal,I,SI2,60.3,59.0,8092,7.43,7.46,4.49
0.6,Ideal,G,VS2,62.0,54.0,1861,5.43,5.47,3.38
0.42,Premium,D,VS1,60.8,60.0,1235,4.87,4.84,2.95
1.35,Very Good,I,VS2,62.1,62.0,6961,6.97,7.05,4.35
0.42,Premium,G,VS1,62.4,59.0,984,4.8,4.78,2.99
0.51,Ideal,D,VS1,62.4,57.0,1779,5.09,5.13,3.19
2.0,Very Good,E,SI2,62.9,56.0,16064,7.94,8.0,5.01
0.34,Ideal,H,SI1,62.6,56.0,628,4.48,4.46,2.8
0.91,Good,F,SI2,63.8,59.0,3539,6.04,6.09,3.87
0.36,Premium,E,SI1,61.3,56.0,810,4.62,4.58,2.82
0.4,Good,D,SI1,63.6,57.0,720,4.67,4.7,2.98
0.5,Very Good,F,SI1,60.2,62.0,1213,5.1,5.13,3.08
1.56,Very Good,H,VS2,63.1,60.0,11039,7.43,7.34,4.66
1.72,Ideal,H,SI1,62.2,57.0,7840,7.65,7.55,4.72
0.28,Ideal,H,VS1,62.2,54.0,462,4.19,4.23,2.62
0.51,Premium,I,SI1,61.3,58.0,1084,5.16,5.11,3.15
0.72,Very Good,F,SI2,63.1,58.0,2246,5.69,5.63,3.57
0.56,Very Good,E,VS1,62.0,58.9,2027,5.25,5.29,3.27
1.1,Very Good,I,SI1,61.2,61.0,4640,6.61,6.66,4.01
1.51,Fair,H,SI1,65.4,59.0,9386,7.17,7.11,4.67
0.31,Very Good,J,VS2,62.7,58.0,380,4.3,4.34,2.71
0.75,Premium,H,VS1,61.9,61.0,2961,5.85,5.82,3.61
0.25,Very Good,H,VVS1,60.1,62.0,450,4.08,4.11,2.46
0.42,Very Good,E,SI1,62.7,57.0,773,4.77,4.83,3.01
0.38,Ideal,F,I1,62.5,57.0,638,4.64,4.61,2.89
0.3,Ideal,G,VS2,61.8,56.0,507,4.29,4.32,2.66
0.33,Ideal,G,SI2,62.9,55.0,557,4.46,4.41,2.79
0.55,Ideal,D,VS2,61.0,56.0,1768,5.31,5.28,3.23
0.72,Ideal,E,SI1,62.0,57.0,2476,5.72,5.66,3.53
1.0,Premium,F,VVS1,62.6,58.0,8736,6.45,6.33,4.0
0.4,Very Good,F,VS2,62.9,57.0,842,4.69,4.72,2.96
1.14,Ideal,E,VS2,62.4,55.0,9516,6.71,6.64,4.17
0.7,Ideal,F,VVS2,61.0,57.0,3478,5.73,5.75,3.5
1.21,Ideal,G,VS2,61.8,57.0,8001,6.83,6.79,4.21
1.78,Premium,E,SI2,60.5,59.0,10765,7.89,7.8,4.75
0.79,Premium,J,SI1,58.8,62.0,1924,6.03,6.01,3.54
0.33,Ideal,D,VS2,60.7,56.0,803,4.48,4.5,2.73
1.25,Premium,I,VS1,60.4,59.0,6545,6.94,7.01,4.21
0.67,Premium,F,SI1,61.3,59.0,1809,5.65,5.63,3.46
0.4,Ideal,E,VVS1,61.3,56.0,1824,4.78,4.75,2.92
1.01,Premium,I,SI2,61.7,60.0,3749,6.34,6.4,3.93
1.34,Very Good,E,SI2,62.1,63.0,5065,7.06,7.01,4.37
0.44,Ideal,G,VS1,61.9,54.0,915,4.89,4.93,3.04
0.7,Ideal,F,SI2,60.1,57.0,2163,5.78,5.81,3.48
0.3,Very Good,G,IF,63.0,53.0,895,4.24,4.3,2.69
0.9,Fair,G,SI1,65.4,57.0,3145,6.04,5.95,3.92
0.41,Ideal,D,VS2,62.2,57.0,1076,4.76,4.72,2.95
0.42,Premium,D,SI2,60.1,58.0,898,4.88,4.83,2.92
0.75,Ideal,I,VS2,60.4,59.0,2680,5.86,5.9,3.55
0.33,Ideal,G,VS1,61.9,56.0,854,4.48,4.44,2.76
0.46,Fair,H,VS2,65.6,58.0,830,4.8,4.84,3.16
1.2,Very Good,H,VS1,63.1,55.0,6814,6.82,6.77,4.29
1.13,Very Good,G,SI1,63.1,58.0,5526,6.65,6.59,4.18
0.71,Premium,E,VS2,62.5,60.0,2735,5.7,5.66,3.55
0.39,Ideal,E,IF,61.3,56.0,1333,4.71,4.75,2.9
1.01,Good,J,SI1,62.8,58.0,3399,6.28,6.33,3.96
0.26,Premium,E,VVS1,61.7,59.0,769,4.14,4.1,2.54
0.7,Good,F,VS2,63.5,56.0,2212,5.64,5.45,3.52
0.35,Ideal,E,VVS1,61.9,56.0,905,4.53,4.55,2.81
0.7,Very Good,E,SI2,61.5,56.0,2298,5.71,5.73,3.52
0.33,Ideal,H,IF,60.6,57.0,959,4.51,4.5,2.73
1.22,Premium,F,SI1,61.8,59.0,6887,6.86,6.83,4.23
1.51,Premium,E,SI1,63.0,58.0,8836,7.4,7.27,4.62
1.03,Very Good,D,SI2,63.3,58.0,4963,6.38,6.42,4.05
1.51,Premium,F,VS2,61.8,56.0,13221,7.39,7.28,4.53
0.71,Ideal,J,VVS2,60.3,61.0,2226,5.76,5.79,3.48
0.41,Very Good,H,VVS2,61.3,54.0,839,4.75,4.87,2.95
1.13,Very Good,G,SI2,60.0,61.0,4437,6.71,6.78,4.05
0.3,Ideal,G,VVS2,60.7,58.0,655,4.34,4.36,2.64
1.01,Fair,E,SI2,55.2,65.0,4118,6.78,6.67,3.71
0.35,Ideal,I,VS2,62.5,57.0,630,4.53,4.5,2.82
0.71,Premium,D,SI1,61.0,61.0,2863,5.82,5.75,3.53
1.35,Fair,I,VS2,61.6,62.0,7182,7.15,7.1,4.39
0.32,Ideal,H,VVS1,61.9,55.0,730,4.37,4.38,2.71
1.03,Good,D,SI2,57.2,59.0,3743,6.66,6.63,3.8
0.7,Ideal,F,SI1,61.7,58.0,2662,5.67,5.7,3.51
0.44,Premium,G,SI1,61.1,59.0,990,4.9,4.86,2.98
1.76,Premium,D,SI2,59.6,58.0,13867,7.9,7.86,4.7
1.7,Premium,F,VS1,60.6,58.0,18430,7.68,7.71,4.66
0.38,Ideal,G,VS1,62.5,56.0,998,4.64,4.58,2.88
0.36,Ideal,D,SI1,62.7,57.0,851,4.59,4.54,2.86
2.01,Good,I,SI1,59.4,63.0,14597,8.18,8.26,4.88
1.27,Premium,I,I1,60.2,62.0,3732,7.05,7.0,4.23
1.0,Ideal,F,VS1,61.7,55.0,7056,6.42,6.39,3.95
0.42,Ideal,F,VVS2,61.7,57.0,1142,4.78,4.81,2.96
0.28,Very Good,H,VS2,61.4,57.0,376,4.21,4.23,2.59
0.53,Ideal,F,SI2,61.7,56.0,1142,5.23,5.24,3.23
0.33,Very Good,D,SI1,61.5,60.0,608,4.41,4.44,2.72
1.01,Very Good,F,VS2,59.4,61.0,6288,6.48,6.51,3.86
0.58,Ideal,F,VVS1,61.7,55.0,3090,5.36,5.39,3.31
0.36,Ideal,E,VS2,60.7,56.0,738,4.63,4.65,2.82
1.02,Premium,G,VS1,60.8,58.0,6505,6.52,6.47,3.95
0.91,Good,D,SI1,63.1,61.0,4113,6.1,6.16,3.87
0.54,Ideal,H,VVS1,60.3,56.0,1944,5.33,5.28,3.2
0.8,Very Good,G,SI1,62.1,56.0,3071,6.01,5.85,3.68
0.35,Premium,F,SI1,60.2,58.0,748,4.6,4.54,2.75
0.9,Premium,G,I1,62.3,53.0,1939,6.16,6.12,3.82
1.5,Very Good,I,VS2,58.2,60.0,9118,7.5,7.58,4.39
0.65,Good,I,VS1,61.1,61.7,1744,5.55,5.59,3.4
1.0,Good,G,VS1,63.9,60.0,6187,6.3,6.35,4.04
0.4,Ideal,G,VS2,62.3,57.0,807,4.7,4.71,2.93
1.2,Premium,H,SI1,60.8,60.0,5822,6.87,6.79,4.15
0.41,Ideal,F,VVS2,62.1,55.0,1036,4.77,4.79,2.97
1.03,Premium,E,VVS2,59.7,56.0,9205,6.64,6.56,3.94
0.31,Ideal,G,IF,61.6,55.0,891,4.37,4.39,2.7
0.32,Premium,E,VVS1,61.8,59.0,1020,4.39,4.35,2.7
1.03,Very Good,E,VS2,61.3,61.0,5800,6.46,6.53,3.98
0.32,Ideal,G,VVS2,61.3,55.0,698,4.4,4.44,2.71
0.32,Ideal,G,VS1,61.9,55.0,828,4.43,4.39,2.73
0.26,Good,F,VVS1,64.0,57.0,524,4.03,4.06,2.59
1.04,Ideal,F,VVS2,61.2,57.0,9005,6.5,6.53,3.99
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51
0.37,Very Good,D,SI1,62.2,58.0,681,4.58,4.62,2.86
0.32,Ideal,E,VS2,62.2,55.0,900,4.38,4.37,2.72
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55
0.36,Ideal,F,VS2,62.0,55.0,932,4.58,4.55,2.83
0.5,Premium,E,VS2,60.7,59.0,1699,5.13,5.11,3.11
0.43,Very Good,D,SI1,61.0,57.0,774,4.85,4.88,2.97
0.43,Ideal,F,VVS1,60.3,59.0,1261,4.89,4.93,2.96
0.41,Ideal,G,VVS2,61.1,55.0,1007,4.8,4.83,2.94
0.41,Good,E,SI2,63.2,58.0,638,4.68,4.72,2.97
1.5,Very Good,E,VS2,61.0,55.0,13963,7.38,7.45,4.52
0.33,Ideal,G,VS2,61.2,55.0,579,4.46,4.49,2.74
0.5,Ideal,E,SI1,61.6,57.0,1337,5.08,5.11,3.14
0.63,Premium,F,SI2,60.3,61.0,1351,5.55,5.5,3.33
1.01,Good,G,SI2,63.5,58.0,4079,6.34,6.39,4.04
0.4,Good,F,SI1,63.3,58.0,687,4.69,4.72,2.98
0.79,Ideal,I,VS1,61.7,59.0,2888,5.93,5.96,3.67
0.51,Premium,G,VVS2,59.1,59.0,1974,5.21,5.18,3.07
1.5,Premium,E,VS1,62.5,58.0,16023,7.21,7.28,4.53
0.76,Very Good,F,VVS2,62.9,58.0,3640,5.76,5.85,3.65
0.3,Ideal,E,VVS1,62.0,58.0,862,4.28,4.3,2.66
1.52,Premium,H,SI2,62.0,58.0,7764,7.37,7.34,4.56
0.33,Ideal,G,IF,61.8,54.0,946,4.47,4.49,2.77
0.46,Ideal,H,VS1,62.3,53.0,983,4.96,4.99,3.1
1.51,Premium,G,SI1,58.7,60.0,10020,7.55,7.48,4.41
0.36,Very Good,G,SI1,62.0,59.0,537,4.53,4.56,2.82
0.57,Premium,F,SI2,60.7,59.0,1746,5.38,5.33,3.25
0.71,Ideal,E,SI1,61.7,56.0,2663,5.72,5.75,3.54
0.32,Ideal,H,VVS2,61.4,54.0,628,4.4,4.43,2.71
0.62,Ideal,G,VVS2,61.6,56.0,2861,5.45,5.48,3.37
0.34,Ideal,G,VS2,61.0,57.0,596,4.48,4.5,2.74
0.35,Very Good,H,VS2,59.6,62.0,552,4.57,4.62,2.74
0.3,Ideal,H,VVS2,60.4,56.0,605,4.32,4.36,2.62
1.18,Ideal,J,VS1,61.7,56.0,5182,6.79,6.82,4.2
0.54,Premium,D,VS2,61.6,56.0,1627,5.24,5.18,3.21
0.51,Ideal,F,SI2,62.7,57.0,1046,5.08,5.1,3.19
0.51,Very Good,H,VS1,60.7,56.0,1628,5.18,5.21,3.16
1.52,Ideal,H,VS2,61.8,55.1,11333,7.38,7.42,4.58
1.01,Very Good,G,VS2,62.7,61.0,5747,6.32,6.35,3.97
0.9,Premium,H,VS2,60.0,59.0,3629,6.23,6.16,3.72
0.31,Ideal,G,VVS1,60.8,56.0,1046,4.39,4.36,2.66
1.0,Premium,D,VS2,60.8,61.0,6776,6.41,6.39,3.89
0.3,Premium,D,SI1,62.5,59.0,520,4.26,4.22,2.65
0.39,Ideal,G,SI1,61.3,54.0,748,4.73,4.77,2.91
0.38,Very Good,F,VS2,61.9,59.0,800,4.61,4.66,2.87
0.4,Very Good,D,SI1,63.0,59.0,690,4.69,4.7,2.96
1.1,Very Good,D,VS1,59.7,58.0,9901,6.69,6.72,4.0
0.9,Very Good,D,SI1,61.1,63.0,4068,6.17,6.21,3.78
0.55,Premium,F,SI1,60.1,58.0,1374,5.34,5.3,3.2
1.2,Ideal,J,SI2,61.7,56.0,4659,6.79,6.87,4.21
0.54,Ideal,F,VS1,61.1,55.0,2083,5.26,5.32,3.23
0.34,Ideal,D,I1,61.4,55.0,530,4.52,4.5,2.77
1.24,Premium,F,SI2,62.2,58.0,5741,6.86,6.8,4.25
0.81,Ideal,F,VS1,61.5,55.0,3933,6.01,5.96,3.68
1.02,Premium,F,SI1,62.2,58.0,5089,6.4,6.46,4.0
0.51,Ideal,F,VS1,61.3,54.0,1836,5.23,5.12,3.17
1.04,Premium,G,VVS2,61.8,58.0,8098,6.51,6.47,4.01
1.07,Ideal,H,SI1,61.5,54.0,3415,6.64,6.6,4.07
1.06,Premium,D,VS2,62.3,59.0,7541,6.48,6.52,4.05
1.13,Ideal,G,SI1,61.8,55.0,5759,6.71,6.75,4.16
1.02,Very Good,E,SI1,62.6,58.0,5814,6.4,6.45,4.02
0.31,Ideal,F,VS2,62.6,57.0,625,4.27,4.33,2.69
0.31,Ideal,I,SI2,61.0,56.0,379,4.39,4.43,2.69
1.2,Premium,E,VVS1,60.6,60.0,14192,6.95,6.85,4.18
1.2,Good,J,SI2,63.3,54.4,4659,6.72,6.78,4.27
0.31,Premium,G,VVS1,61.2,59.0,816,4.32,4.34,2.65
0.34,Very Good,G,VS1,61.2,57.0,701,4.5,4.54,2.76
1.2,Very Good,G,SI2,59.7,59.0,5116,6.89,6.94,4.13
1.13,Very Good,G,VS1,60.7,57.0,7815,6.68,6.72,4.07
1.12,Ideal,F,VVS2,61.4,57.0,9461,6.66,6.69,4.1
0.9,Very Good,D,SI1,62.5,63.0,3997,6.14,6.11,3.83
1.2,Premium,J,VS1,59.1,61.0,5107,7.0,6.94,4.12
0.51,Very Good,F,SI1,63.4,58.0,1244,5.06,5.1,3.22
1.08,Ideal,G,VS1,62.4,55.0,7925,6.57,6.63,4.12
1.22,Premium,E,SI1,62.6,58.0,7262,6.78,6.8,4.25
0.72,Ideal,J,VVS2,61.5,57.0,2150,5.74,5.77,3.54
1.17,Ideal,H,SI2,62.4,53.0,5423,6.74,6.76,4.21
0.43,Ideal,G,VS2,61.7,55.0,942,4.85,4.88,3.0
0.7,Very Good,F,VS2,60.3,59.0,2400,5.76,5.79,3.48
1.29,Very Good,G,VS2,58.7,58.0,8684,7.11,7.27,4.22
0.44,Ideal,F,VVS1,61.5,57.0,1319,4.9,4.86,3.0
1.02,Ideal,E,SI1,62.6,57.0,6342,6.41,6.44,4.02
1.5,Premium,I,VS1,62.7,59.0,9900,7.25,7.3,4.56
1.01,Ideal,H,SI2,62.0,57.0,4825,6.4,6.43,3.98
2.02,Ideal,F,SI2,62.2,57.0,16256,8.07,8.03,5.01
0.31,Good,H,VVS1,63.7,56.0,612,4.3,4.33,2.75
0.6,Ideal,E,VS2,62.0,56.0,2112,5.4,5.43,3.36
1.24,Ideal,I,SI2,62.5,57.0,3312,6.89,6.84,4.29
0.72,Ideal,J,SI1,61.8,54.0,1864,5.76,5.8,3.57
0.71,Very Good,I,SI2,61.1,56.0,1938,5.75,5.79,3.53
0.32,Premium,H,SI1,60.9,60.0,461,4.4,4.43,2.69
0.6,Ideal,G,VVS2,61.3,56.0,2467,5.43,5.46,3.34
0.51,Ideal,D,VVS2,61.3,56.0,3223,5.14,5.15,3.16
1.63,Ideal,H,SI1,61.8,57.0,12910,7.5,7.54,4.64
0.32,Ideal,G,SI1,61.3,56.0,612,4.42,4.39,2.7
0.26,Ideal,H,VS1,62.3,54.0,482,4.07,4.11,2.55
0.8,Good,F,VS1,63.3,55.0,3116,5.87,5.92,3.73
0.32,Premium,E,VS2,60.5,58.0,900,4.48,4.44,2.7
1.16,Premium,G,SI1,63.0,58.0,5366,6.7,6.66,4.21
1.5,Good,H,VS1,63.8,61.0,9878,7.17,7.12,4.56
0.3,Ideal,H,SI1,62.2,57.0,450,4.27,4.28,2.66
0.39,Very Good,I,VS2,60.2,61.0,696,4.74,4.79,2.87
0.91,Ideal,E,SI1,61.2,58.0,4513,6.24,6.3,3.84
0.72,Ideal,I,VVS2,61.2,59.0,2452,5.75,5.79,3.53
0.34,Ideal,E,SI1,61.4,55.0,765,4.54,4.48,2.77
0.41,Ideal,D,VS2,61.5,57.0,1076,4.79,4.77,2.94
0.43,Very Good,F,SI2,58.3,62.0,633,4.91,4.97,2.88
1.06,Ideal,G,SI1,62.0,57.0,5342,6.54,6.5,4.04
0.3,Premium,H,VS1,60.4,61.0,675,4.31,4.27,2.59
1.2,Premium,H,SI2,62.4,57.0,5510,6.83,6.75,4.24
0.36,Ideal,F,IF,61.4,55.9,1138,4.58,4.62,2.82
1.12,Ideal,H,SI1,62.8,55.0,5863,6.66,6.61,4.17
0.36,Premium,F,SI1,61.9,59.0,770,4.54,4.51,2.8
0.5,Premium,E,VS2,62.6,58.0,1676,5.12,5.07,3.19
0.43,Ideal,F,VVS1,61.0,56.0,1422,4.9,4.87,2.98
0.4,Very Good,E,SI1,63.2,56.0,882,4.74,4.69,2.98
0.41,Ideal,E,VVS2,61.6,56.0,1187,4.78,4.8,2.95
0.47,Ideal,F,VVS1,61.6,56.0,2113,5.0,5.02,3.09
